,,,,,,,,,,,,
,,,,,,,,,,,,
"Area of Australia's forests, and the area and proportion in the fire extent area during the 2019–20 summer bushfire season in southern and eastern Australia as at 28 April 2020, by forest category and jurisdiction",,,,,,,,,,,,
Jurisdiction,"Total forest area, by forest category 
('000 hectares)",,,,"Total area burnt, by forest category 
('000 hectares)",,,,"Proportion of total forest area burnt, by forest category (%)",,,
,"Native 
forest","Commercial 
plantation","Other 
forest","Total 
forest","Native 
forest",Commercial plantation,"Other 
forest","Total 
forest","Native 
forest",Commercial plantation,"Other 
forest","Total 
forest"
Australian Capital Territory,130,7,5,142,83,0,0,83,64,0.2,2.7,58
New South Wales,"19,925",380,62,"20,368","5,015",92,16,"5,123",25,24,26,25
Northern Territory,"23,686",45,4,"23,735",0,0,0,0,0.0,0.0,0.0,0.0
Queensland,"51,580",229,21,"51,830",510,4,0,514,1.0,1.9,1.3,1.0
South Australia,"4,856",178,25,"5,060",118,17,2,137,2.4,10,7.9,2.7
Tasmania,"3,342",311,46,"3,699",27,3,0,30,0.8,0.8,0.4,0.8
Victoria,"7,645",415,162,"8,222","1,444",10,3,"1,457",19,2.4,2.0,18
Western Australia,"20,450",383,148,"20,981","1,140",4,0,"1,144",5.6,1.2,0.2,5.5
Total,"131,615","1,949",474,"134,037","8,336",130,22,"8,488",6.3,6.7,4.7,6.3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
