id,lat,long,project_type,name,description,location,lga,cwlth_state_funding,project_status,recovery_type
1001,-35.72851927,137.9429855,Local Economic Recovery Funding,Kangaroo Island - Desalination Plant,"The project will fund a new desalination plant that will improve water security, support local industries and provide long-term social and economic recovery.",Penneshaw,Kangaroo Island (DC),Up to $19.80 million,In progress,Infrastructure
1002,-36.1472077,147.7988826,Local Economic Recovery Funding,Cudgewa Tennis Facility Restoration,"The project will fund the restoration and expansion of the Cudgewa Tennis Club facility to provide the community with space for recreation, community gatherings and events.",Cudgewa,Towong (S),"Up to $185,000",In progress,Infrastructure
1003,-36.05958842,147.9128252,Local Economic Recovery Funding,The Tintaldra Avenue of Honour,The project will re-establish a tree-lined avenue in the township of Tintaldra to commemorate World War I veterans and the 2020 bushfires.,Tintaldra,Towong (S),"Up to $118,000",Not yet commenced,Human/Social
1004,-37.37801723,148.2916666,Local Economic Recovery Funding,East Gippsland Community Resilience and Development Program (stage 1),"Stage one of this project involves an upgrade of community facilities in 32 towns across East Gippsland - including public halls and recreation reserve buildings. Works will include ember proofing, electrical upgrades, satellite communication and WIFI upgrades.",Multiple,East Gippsland (S),Up to $1.04 million,In progress,Infrastructure
1005,-36.90082373,147.0464388,Local Economic Recovery Funding,Harrietville East Ovens Pedestrian Bridge,"The project will build a 19.5 metre pedestrian bridge joining Harrietville with the east branch of the Ovens, to support tourism, community access and mobility.",Harrietville,Alpine (S),"Up to $120,000",Not yet commenced,Infrastructure
1006,-36.7512718,147.2252813,Local Economic Recovery Funding,Murals Mount Beauty,The project will fund three large murals in Mount Beauty to reflect community pride and create a significant new point of interest for tourists travelling through the town.,Mount Beauty,Alpine (S),"Up to $40,000",Not yet commenced,Human/Social
1007,-23.2535463,150.8021047,Local Economic Recovery Funding,Emu Park West Reservoir,The project will fund the design and construction of a four-megalitre concrete potable water supply reservoir and associated infrastructure in the Livingstone Shire.,Emu Park,Livingstone (S),Up to $2.00 million,In progress,Infrastructure
1008,-16.98473715,143.9551715,Local Economic Recovery Funding,Chillagoe Bore and Water Main Construction,"The project will fund construction of a new reticulated underground water supply for Chillagoe, ensuring the continuity of this essential service for residents.",,Mareeba (S),Up to $1.69 million,In progress,Infrastructure
1009,-26.39823006,153.0932585,Local Economic Recovery Funding,Noosa Hinterland recreation trails upgrade (Pomona Section),The project will improve access and create new links within a priority section of Noosa’s hinterland trails network. The project will support both recreational and tourism use.,Pomona (Qld),Noosa (S),Up to $1.61 million,In progress,Environment
1010,-27.99267195,152.6905677,Local Economic Recovery Funding,Boonah Cinema Upgrade,"The project will upgrade facilities in the Boonah Cultural and Community Hub, for use as an evacuation point and community recovery hub..",Boonah (Qld),Scenic Rim (R),"Up to $67,500",Completed,Infrastructure
1011,-27.00125973,152.6632106,Local Economic Recovery Funding,Mountain to Mountain - Trail development and activation (Stage 1),The project will construct Stage 1 of the Mount Glen Rock Recreation and Nature Reserve development in the Somerset Regional Council area.,Esk (Qld),Somerset (R),"Up to $250,694",In progress,Environment
1021,-32.92387391,151.7326093,Local Economic Recovery Funding,"""De-risking"" the NSW Dairy Industry: healthy milk, cows, systems",The project will support the industry-driven development and extension of 'programs of work' to accelerate the recovery of the fire-affected NSW Dairy Industry and improve farm business resilience.,Multiple,Multiple NSW,Up to $6.00 million,In progress,Economic
1022,-35.31076502,148.1278361,Local Economic Recovery Funding,Tumut wood fibre manufacturing investment project,The project will fund the installation of an advanced wood fibre handling augmentation. This upgrade will lead to a material and transformational shift in the processing of plantation softwood resources.,Gadara,Snowy Valleys (A),Up to $10.00 million,In progress,Economic
1023,-35.70611701,150.1572844,Local Economic Recovery Funding,Adaptive and Resilient Oyster Supply Chain: Oyster Wet Storage and Packing Shed Project,The project will modernise and scale up oyster production and develop higher value markets for oysters in the Clyde River and NSW.,Batemans Bay,Eurobodalla (A),"Up to $225,000",In progress,Economic
1024,-35.54502812,148.1466146,Local Economic Recovery Funding,Apple Thief Batlow Cider House development,This project will fund a new cider manufacturing and distribution centre to create employment opportunities and a new event space.,Batlow,Snowy Valleys (A),Up to $3.51 million,In progress,Economic
1025,-35.26238629,148.2446483,Local Economic Recovery Funding,Ardrossan Orchards Nursery Development,"This project  will develop a nursery to support fast-track tree availability, including innovative growing practices and tissue cultures. It will expedite tree availability for Batlow’s apple industry recovery.",Bombowlee,Snowy Valleys (A),"Up to $991,000",In progress,Economic
1026,-33.44852264,150.5495974,Local Economic Recovery Funding,Bilpin Fruit Bowl - Hot-House Strawberries,"The project will fund the clean-up, replacement and upgrading of existing fire damaged infrastructure and develop a new 8000 sqm energy efficient hot house - to diversify the enterprise and create year-round production and visitation.",Bilpin,Hawkesbury (C),Up to $1.23 million,In progress,Economic
1027,-36.97322731,149.8934932,Local Economic Recovery Funding,Broadway Oysters Flipping Farming to Sustainability,"The project will develop new manufacturing processes to transform the aquaculture system into a 'flip-farm', with the aim of doubling production of Sydney Rock Oysters and generating local employment.",Broadwater (Bega Valley - NSW),Bega Valley (A),"Up to $300,000",In progress,Economic
1028,-35.54659579,148.089106,Local Economic Recovery Funding,Bush Fire Recovery - Sector Development Grant Planting Program,The project will support apple production in the region through high-density production and making use of previously unproductive blocks. The project will create employment opportunities in the region.,Kunama,Snowy Valleys (A),Up to $2.28 million,In progress,Economic
1029,-29.10125708,152.6179794,Local Economic Recovery Funding,Clarence Way Upgrade: Keybarbin to Flagstone Creek,This project will upgrade Clarence Way from Keybarbin to Flagstone Creek to support the local agricultural and forestry industry operations through improving road access.,Keybarbin,Clarence Valley (A),Up to $2.50 million,In progress,Infrastructure
1030,-36.57931844,149.9732978,Local Economic Recovery Funding,Environmental Risk Management System: Innovation for Resilience in the NSW Oyster Industry,"The project will fund the development of individual estuary/harvest area management plans to mitigate future bushfire and environmental impacts on industry, decrease closure days and provide practical advice on risk mitigation strategies during future bushfire related poor water quality events.",Multiple,Multiple NSW,"Up to $514,400",In progress,Economic
1031,-35.70243667,147.9883481,Local Economic Recovery Funding,Expansion of Existing Cellar Door & New Conference Venue,The project will support increased product demand through extending the cellar door and developing a dedicated conference and wedding venue. The development will provide year-round seated capacity for an additional 120 visitors.,Courabyra,Snowy Valleys (A),"Up to $337,500",In progress,Economic
1032,-37.02304164,149.8929189,Local Economic Recovery Funding,Expansion of wood pellet production line,"This project will fund the installation of a raw material wood-fibre collection bunker. This includes a walking floor, biomass dryer and heat plant, raw material storage silo and a larger higher capacity wood pellet production plant and, automatic bagging line.",Eden,Bega Valley (A),Up to $1.05 million,In progress,Economic
1033,-31.06208717,152.84783,Local Economic Recovery Funding,Firewood processing mill,This project will fund the purchase of 2 machines to produce bulk firewood - a Gibson Log docker and a REX900 firewood splitter. Both machines are s 100% WorkCover approved.,Frederickton,Kempsey (A),"Up to $107,500",In progress,Economic
1034,-34.46862887,150.3310055,Local Economic Recovery Funding,Food & Wine Clusters - Growers & Producers Industry Development Project,"The project will help growers and producers improve production and marketing in bushfire impacted regions across NSW, through communications, workshops, mentoring, skills training and events designed to address knowledge gaps and strengthen market opportunities.",Berrima,Wingecarribee (A),"Up to $80,000",In progress,Economic
1035,-32.83482562,151.3630288,Local Economic Recovery Funding,Fortifying the future of the NSW wine industry,"This project will support the recovery and resilience of the NSW wine industry through expanding resources, technical skills and education including how to effectively manage the effects of fires and smoke in the future.",Multiple,Multiple NSW,"Up to $331,300",In progress,Economic
1036,-31.50352532,151.2481736,Local Economic Recovery Funding,Futureproofing Arc-en-Ciel Rainbow Trout,The project will upgrade private infrastructure to create efficient hatching and growing infrastructure with monitoring and control systems and upgrading of processing plant.,Hanging Rock,Tamworth Regional (A),"Up to $275,964",In progress,Economic
1037,-34.97306948,149.0228335,Local Economic Recovery Funding,Future-Proofing the NSW Apiary Industry: Keeping Beekeepers in Jobs,This project will improve confidence and investment in the NSW Apiary Industry and increase the resilience and sustainability of the industry through building the capacity of the research community.,,Multiple NSW,Up to $1.94 million,In progress,Economic
1038,-35.04283224,148.1036667,Local Economic Recovery Funding,Gundagai Gold Honey,"The project will update and expand the processing and packaging capabilities of Gundagai Gold Honey, Beehive Beauty and Australian Healing Honeys.",Gundagai,Cootamundra-Gundagai Regional (A),"Up to $300,500",In progress,Economic
1039,-31.25806046,152.7278719,Local Economic Recovery Funding,Hayden Timbers Sawmill Equipment project,"The project will fund the installation of a new integrated system in the hardwood sawmill. The new system will provide new technology, improve production efficiencies, and improve employee safety.",Gum Scrub,Port Macquarie-Hastings (A),"Up to $455,000",In progress,Economic
1040,-32.76208239,151.2809946,Local Economic Recovery Funding,Hunter Valley Wine & Tourism Association: Recovery & Resilience Program,"The project will create local jobs, sustain the sector and ensure the industry remains viable in the longer term by harnessing innovation, business diversification and market expansion.",Pokolbin,Cessnock (C),"Up to $585,750",In progress,Economic
1041,-28.6134083,153.0457849,Local Economic Recovery Funding,Hurford Wood Supply Recovery Project,The project will provide capacity to replant quickly with well suited native tree varieties and rehabilitate these devastated natural assets.,Little Back Creek,Kyogle (A),"Up to $506,250",In progress,Economic
1042,-28.63954006,153.0153474,Local Economic Recovery Funding,Kyogle - Innovative Small Scale Bio-energy Solution for Timber Mills,"The project will fund a small scale bio-energy reactor at the Kyogle mill to improve energy efficiency, reduce costs and create an alternative income source by selling energy to the grid during non-operational hours.",Kyogle,Kyogle (A),Up to $1.53 million,In progress,Economic
1043,-30.92297887,153.0276417,Local Economic Recovery Funding,Macleay River Automated Oyster Grading Facility,"The project will create an automated oyster grading and processing facility on the Macleay River, including the provision of state-of-the-art oyster processing equipment.",Jerseyville,Kempsey (A),"Up to $131,000",In progress,Economic
1045,-36.92952025,149.8776261,Local Economic Recovery Funding,Marketing NSW oysters: Driving demand to facilitate sustainable growth,"The project will provide resources for NSW Farmers to contribute to a national marketing campaign, which involves industry-wide marketing and promotional activities to promote the stockpiling of current oyster production.",Multiple,Multiple NSW,"Up to $113,410",In progress,Economic
1046,-36.44604099,149.8098752,Local Economic Recovery Funding,Modulated Expansion Model - Dairy Production,"The project will develop new manufacturing processes to extend dairy lines, expand the product range and double capacity. This will increase employment, training opportunities and benefit to the community through providing a model for boutique dairy processing facilities.",Verona,Bega Valley (A),Up to $1.50 million,In progress,Economic
1047,-35.73246124,148.0550408,Local Economic Recovery Funding,MTV - More Than A Vision,"This project will support the growth of Mount Tumbarumba Vineyard through construction of a contemporary cellar door,  two boutique accommodation spaces, a commercial kitchen and landscaped area to be used for functions.",Tumbarumba,Snowy Valleys (A),"Up to $418,000",In progress,Economic
1049,-34.93099918,150.5635487,Local Economic Recovery Funding,Nowra Sawmill Green Timber Docking Line,"The project will fund the installation of a second docking and packing line at the Nowra sawmill, specifically designed to produce short length green timber products. Diversifying the production will increase market opportunities and provide employment for the region.",Nowra Hill,Shoalhaven (C),"Up to $137,808",In progress,Economic
1050,-37.02304064,149.8929179,Local Economic Recovery Funding,Pallet Collar production line upgrade,"The project will fund the installation of an upgraded new pallet collar production line and new equipment, and fit a roof mounted fire suppression sprinkler system to prevent against bushfire ember attack.",Eden,Bega Valley (A),"Up to $180,500",In progress,Economic
1051,-37.13761624,149.9557142,Local Economic Recovery Funding,Power Upgrade for major SEFE Industry Development,"The project will replace, upgrade and adapt the damaged Eden export chip facility to increase capacity load and provide the necessary infrastructure to upgrade the site power distribution network.",Eden,Bega Valley (A),"Up to $945,240",In progress,Economic
1052,-35.03860297,150.6508776,Local Economic Recovery Funding,Professionalising the NSW oyster industry: The road to recovery & future resilience,The project will develop a 'responsible oyster farming program' - a series of short training modules aligned with the industry code of practice to upskill existing farmers or those entering the industry.,Multiple,Multiple NSW,Up to $1.11 million,In progress,Economic
1053,-35.32118026,148.2333715,Local Economic Recovery Funding,Project Corner,"The project will fund modernisation of the Tumut mill, incorporating innovative technologies to increase production and reduce waste. When completed the project will support the recovery of the region's timber industry and provide new job opportunities.",Tumut,Snowy Valleys (A),Up to $10.00 million,In progress,Economic
1054,-35.70243667,147.9883481,Local Economic Recovery Funding,Project Tumbarumba Rising Star,"The funding will support Tumbarumba Vignerons Association Incorporated Project, Tumbarumba Rising Star, by funding a 5-year industry development plan.",Courabyra,Snowy Valleys (A),"Up to $240,000",In progress,Economic
1055,-34.51226097,150.2216799,Local Economic Recovery Funding,Queen Bee Breeding Capability Development,"The project will fund the establishment of a Queen Bee breeding capability to support rebuilding, restocking and future development of the NSW apiary industry.",Belanglo,Wingecarribee (A),"Up to $390,000",In progress,Economic
1056,-29.06843607,152.948185,Local Economic Recovery Funding,Rappville Timber Processing Resilience Project,"The project will bolster the long-term viability of the Rappville sawmill, upgrade equipment and infrastructure to expand capability and provide ongoing employment in the industry.",Rappville,Richmond Valley (A),"Up to $742,090",In progress,Economic
1057,-36.66662057,149.6522978,Local Economic Recovery Funding,"Resource sustainability, dairy growth and diversification","The project will upgrade and modernise dairy operations production methods, providing an opportunity to diversify at the site and build economic resilience.",Morans Crossing,Bega Valley (A),"Up to $670,000",In progress,Economic
1058,-33.37902057,151.2772215,Local Economic Recovery Funding,Snives Hives Meadery,The project will establish a meadery to make and wholesale honey wine. The process of fermenting the honey is a value-adding process to raw honey.,Somersby,Central Coast (C) (NSW),"Up to $194,000",In progress,Economic
1059,-35.54503912,148.1466276,Local Economic Recovery Funding,Snowy Mountains Forest Tarcutta Creek Bridge Linkage Project,The project will replace the existing bridge on Tarcutta Creek and Baga Creek with a new structure and locate another crossing at the western end of the plantation. The project will support the recovery of the forestry industry in the region and support job growth and safety.,Batlow,Snowy Valleys (A),"Up to $275,000",Not yet commenced,Infrastructure
1060,-35.54501712,148.1466396,Local Economic Recovery Funding,Snowy Valleys Itinerant Worker Accommodation,The project will increase the amount of accommodation available for itinerant workers  employed in the horticulture industry. This will address accommodation lost during the 2019-20 bushfires and meet demand for increased accommodation capacity so the horticulture industry can undertake recovery initiatives.,Batlow,Snowy Valleys (A),Up to $3.95 million,In progress,Infrastructure
1061,-34.48470847,150.4258889,Local Economic Recovery Funding,Southern Highlands Food & Wine Festival,"The project will grow the Southern Highlands Food & Wine Festival event which offers dynamic representation of our four industry sectors: beer, wine, spirits and, food.",Bowral,Wingecarribee (A),"Up to $260,000",In progress,Economic
1062,-34.55032695,150.3949764,Local Economic Recovery Funding,Southern Highlands Produce Hub Feasibility Study,The project will fund a study to determine the long term resilience benefits to producers within the Southern Highlands and surrounds of being able to move produce to national and international markets from a transfer hub set up on a main transport corridor.,Moss Vale,Wingecarribee (A),"Up to $50,000",In progress,Economic
1063,-36.92952025,149.8776261,Local Economic Recovery Funding,Stirling Oysters export market development,The project will support the development of the oyster export market from the Merimbula Lake aquaculture region.,Pambula,Bega Valley (A),"Up to $62,000",In progress,Economic
1064,-29.68173808,152.751152,Local Economic Recovery Funding,Sustainable Manufacturing of Speciality & Technical Timber Products,The project will relocate the plant and workers to the area and invest in new technical equipment to enhance capability and capacity.,Grafton,Clarence Valley (A),Up to $10.00 million,In progress,Economic
1065,-30.958652,152.8073006,Local Economic Recovery Funding,The Beekeeper's Honey - Honey Packing Facility,"The project will fund the installation of a modern, B-QUAL accredited honey packing facility. The resulting facility will also provide a new contract packing service to other NSW beekeepers.",Collombatti,Kempsey (A),"Up to $316,970",In progress,Economic
1067,-33.44852364,150.5495984,Local Economic Recovery Funding,TNT Produce Shed and Equipment,The project will build a 500 sqm colour bond shed and purchase additional equipment to assist in dealing with the expected increase in the crop coming from the rebuilding of the orchard.,Bilpin,Hawkesbury (C),Up to $1.12 million,Not yet commenced,Economic
1068,-36.60523197,149.5634728,Local Economic Recovery Funding,Tourism diversification and product growth,"The project will support the upgrade and modernisation of production methods, diversification of production and income streams for this site and develop employment and tourism opportunities.",Bemboka,Bega Valley (A),"Up to $314,000",In progress,Economic
1070,-37.25244529,149.9335322,Local Economic Recovery Funding,Wonboyn Resilience Project,"The project will support oyster farmers of Wonboyn to adapt farming methods in response to changing environmental conditions, enabling sustainability and growth of the industry.",Wonboyn,Bega Valley (A),"Up to $170,404",In progress,Economic
1071,-35.39459393,148.098129,Local Economic Recovery Funding,Wondalga Road Timber Link - Junction Upgrade,"This project will repair the Wondalga Road junction, an important part of the logistics network linking the softwood plantations of the Snowy Valleys with the region's saw and pulp mills.",Wondalga,Snowy Valleys (A),"Up to $480,000",In progress,Infrastructure
1072,-32.27163003,150.6555421,Local Economic Recovery Funding,Yarraman Wybong Vineyard,"The project will deliver increased and diversified production at the site, providing facilities for workers and increasing the capacity to market and export grape and olive produce. The project is supporting economic diversification and employment opportunities in the region.",Wybong,Muswellbrook (A),"Up to $456,000",In progress,Economic
1073,-30.50313191,151.6677943,Local Economic Recovery Funding,Dumaresq Dam Ecotourism Development Project,"The project will upgrade accommodation, recreation and commercial infrastructure at the Dumaresq Dam to support tourism and provide employment opportunities.",Armidale,Armidale Regional (A),Up to $3.89 million,In progress,Human/Social
1076,-34.74794703,149.7277584,Local Economic Recovery Funding,Wollondilly River walking track extension,The project will provide an extension to the four-kilometre walking track alongside Goulburn's historic Wollondilly River.,Goulburn,Goulburn Mulwaree (A),Up to $2.00 million,In progress,Human/Social
1077,-31.88948848,152.444444,Local Economic Recovery Funding,Iron Arena Expansion,"The project will fund an expansion and refurbishment of Saxby Stadium in Taree to increase the number of courts and install 1,300 spectators seats.",Taree,Mid-Coast (A),Up to $8.25 million,In progress,Human/Social
1078,-30.64648225,152.9846936,Local Economic Recovery Funding,"Coastal Protection Wall/Bleachers Main Beach, Nambucca Heads","The project will deliver an engineered coastal sea wall in Nambucca to protect community assets, provide a community space and support long-term sustainable growth in the area.",Nambucca Heads,Nambucca (A),Up to $3.60 million,In progress,Environment
