"Date","Time.Frame","Estuary","Zone","Dissolved.oxygen....saturation.","Salinity..psu.","pH","Chlorophyll.a..ug.L."
2018-01-24,"Pre-fire","Lake Conjola","1",98.5,34,"7.88","3.52"
2018-01-24,"Pre-fire","Lake Conjola","2",99.6,34,"7.91","2.79"
2018-02-20,"Pre-fire","Lake Conjola","2",96.2,35,"7.99","9.59"
2018-02-20,"Pre-fire","Lake Conjola","1",102.6,35,"8.01","11.29"
2018-03-09,"Pre-fire","Lake Conjola","2",105.5,33,"8.01","1.54"
2018-03-09,"Pre-fire","Lake Conjola","1",106.1,32,"7.99","2.57"
2020-02-17,"Post-fire","Lake Conjola","1",92.5,1,"6.61","8.48"
2020-02-17,"Post-fire","Lake Conjola","2",88.4,5,"7.26","29.54"
2020-01-20,"Post-fire","Lake Conjola","1",81.4,33,"7.79","4.57"
2020-01-20,"Post-fire","Lake Conjola","2",96.3,34,"7.79","4.96"
2020-03-02,"Post-fire","Lake Conjola","1",122.1,26,"8.09","5.09"
2020-03-02,"Post-fire","Lake Conjola","2",111.1,27,"8.1","3.94"
2018-01-19,"Pre-fire","Durras Lake","1",98,35,"7.98","1.53"
2018-01-19,"Pre-fire","Durras Lake","2",99,35,"8","0.87"
2018-02-22,"Pre-fire","Durras Lake","1",93,36,"7.89","6.37"
2018-02-22,"Pre-fire","Durras Lake","2",83,36,"7.93","5.8"
2018-03-08,"Pre-fire","Durras Lake","1",130,34,"8.11","7.27"
2018-03-08,"Pre-fire","Durras Lake","2",112,34,"8.01","3.96"
2018-11-13,"Pre-fire","Durras Lake","1",102,35,"8.1","1.92"
2018-11-13,"Pre-fire","Durras Lake","2",103,35,"8.06","2.14"
2018-12-03,"Pre-fire","Durras Lake","1",103,38,"7.92","3.75"
2018-12-03,"Pre-fire","Durras Lake","2",104,38,"7.94","2.34"
2019-01-08,"Pre-fire","Durras Lake","1",88,37,"7.71","3.61"
2019-01-08,"Pre-fire","Durras Lake","2",90,37,"7.79","5.05"
2019-01-30,"Pre-fire","Durras Lake","1",109,38,"7.78","3.13"
2019-01-30,"Pre-fire","Durras Lake","2",111,38,"7.82","3.33"
2019-03-20,"Pre-fire","Durras Lake","1",108,36,"7.65","3.21"
2019-03-20,"Pre-fire","Durras Lake","2",119,35,"7.76","2.59"
2019-11-18,"Pre-fire","Durras Lake","1",94,35,"7.79","1.68"
2019-11-18,"Pre-fire","Durras Lake","2",93,35,"7.82","3.31"
2019-12-18,"During fire","Durras Lake","1",NA,38,"7.87","2.74"
2019-12-18,"During fire","Durras Lake","2",NA,38,"7.86","4.02"
2020-01-20,"During fire","Durras Lake","1",93,39,"7.81","5.51"
2020-01-20,"During fire","Durras Lake","2",93,39,"7.77","5.78"
2020-02-19,"Post-fire","Durras Lake","1",88,14,"7.41","20.18"
2020-02-19,"Post-fire","Durras Lake","2",91,13,"7.47","14.4"
2020-03-04,"Post-fire","Durras Lake","1",101,20,"8.01","16.68"
2020-03-04,"Post-fire","Durras Lake","2",97,20,"7.99","15.26"
2020-11-11,"Post-fire","Durras Lake","1",118,25,"8.11","4.79"
2020-11-11,"Post-fire","Durras Lake","2",122,25,"8.16","5.81"
2020-12-02,"Post-fire","Durras Lake","1",91,31,"7.93","6.7"
2020-12-02,"Post-fire","Durras Lake","2",94,32,"7.98","3.83"
2018-01-09,"Pre-fire","Khappinghat Creek","1",93.52,33.36,"7.57","2.37"
2018-01-09,"Pre-fire","Khappinghat Creek","2",93.48,33.36,"7.57","2.36"
2018-02-06,"Pre-fire","Khappinghat Creek","1",83.04,34.4,"7.52","1"
2018-02-06,"Pre-fire","Khappinghat Creek","2",86.7,34.45,"7.61","0.82"
2018-02-27,"Pre-fire","Khappinghat Creek","1",86.93,34.64,"7.63","1.65"
2018-02-27,"Pre-fire","Khappinghat Creek","2",85.23,34.66,"7.63","0.87"
2018-04-12,"Pre-fire","Khappinghat Creek","2",75.31,27.16,"7.73","1.79"
2018-04-12,"Pre-fire","Khappinghat Creek","1",73.99,26.62,"7.67","2.14"
2018-11-01,"Pre-fire","Khappinghat Creek","1",71.45,12.13,"6.98","4.41"
2018-11-01,"Pre-fire","Khappinghat Creek","2",70.2,13.4,"6.75","4.11"
2018-11-28,"Pre-fire","Khappinghat Creek","1",92.74,32.72,"7.38","2.07"
2018-11-28,"Pre-fire","Khappinghat Creek","2",92.81,34.16,"7.44","0.63"
2018-12-12,"Pre-fire","Khappinghat Creek","1",83.3,34.35,"7.73","1.3"
2018-12-12,"Pre-fire","Khappinghat Creek","2",91,34.51,"7.81","1"
2019-01-21,"Pre-fire","Khappinghat Creek","1",77.37,38.55,"7.74","4.48"
2019-01-21,"Pre-fire","Khappinghat Creek","2",89.68,38.75,"7.83","2.65"
2019-02-12,"Pre-fire","Khappinghat Creek","1",106.05,39,"7.79","3.52"
2019-02-12,"Pre-fire","Khappinghat Creek","2",108.32,39.24,"7.84","2.11"
2019-03-07,"Pre-fire","Khappinghat Creek","1",84.62,40.32,"7.78","1.95"
2019-03-07,"Pre-fire","Khappinghat Creek","2",93.16,40.32,"7.86","1.32"
2019-11-04,"Pre-fire","Khappinghat Creek","1",90.48,43.65,"7.63","2.12"
2019-11-04,"Pre-fire","Khappinghat Creek","2",95.88,43.54,"7.7","2.06"
2019-12-10,"During fire","Khappinghat Creek","1",96.52,48.66,"7.62","2.64"
2020-01-08,"Post-fire","Khappinghat Creek","1",111.7,53.78,"7.83","11.37"
2020-01-08,"Post-fire","Khappinghat Creek","2",104.41,53.17,"7.78","4.86"
2020-01-29,"Post-fire","Khappinghat Creek","1",136.16,51.67,"7.94","10.18"
2020-01-29,"Post-fire","Khappinghat Creek","2",111.18,51.65,"7.85","7.21"
2020-02-25,"Post-fire","Khappinghat Creek","1",128.99,22.74,"8.05","8.09"
2020-02-25,"Post-fire","Khappinghat Creek","2",115.49,25.42,"8.01","5.75"
